za,Name( First Last),Email,Industry,if others? pls specify,Status,Notes,Personalized? ,Member in charge?,,,,,,,,
WEEK 1,,,,,,,,,,,,,,,,
BostonHacks (example),Hoang Nguyen,Hoang123@gmail.com,others,non-profit,Email Sent,"3pm, 21st Feb, Zoom Meeting",Yes,Shraddha,,,,,,,,
RedHat,,https://developers.redhat.com/contact-sales ,Tech (Software),,Email not sent,Not applicable,,Ethan Chang,,,,,,,,
NordVPN,,business@nordvpn.com,Tech (Software),,Email Sent,,,Ethan Chang,,,,,,,,
Y combinator,,apply.ycombinator.com,others,Startup funding,Email not sent,Not applicable,Yes,Vincent Sun,,,,,,,,
Tezos,,reachout@tezos.com,Tech (Software),,Email Sent,https://tezos.com/hackathons/funding-application/,Yes,Vincent Sun,,,,,,,,
Jane Street,,sponsorship-inquiries@janestreet.com,others,Trading,Email Sent,Contact them through this: connect@janestreet.com => rejected,Yes,Vincent Sun,,,,,,,,
Coca Cola,,Email can be sent by filling out: https://www.coca-cola.com/us/en/about-us/contact-us,Food,food and drink,Email not sent,Apply for a grant here: https://coca-cola.smartsimple.com/s_Login.jsp,Yes,Vincent Sun,,,,,,,,
JetBrains,,sales.us@jetbrains.com,Tech (Software),,Email Sent,Rejected,Yes,Vincent Sun,,,,,,,,
Estimote,,contact@estimote.com <contact@estimote.com>;,Tech (Hardware),,Email Sent,,,Ethan Chang,,,,,,,,
Ultra Leap,,info@ultraleap.com,Tech (Hardware),,Email Sent,,,Ethan Chang,,,,,,,,
Element,,https://try.element.io/contact-sales,Tech (Software),,Email Sent,,,Ethan Chang,,,,,,,,
Uniswap,,https://airtable.com/app4JAoiHuUj88lR0/shr064C7Bi3MmMoC9,others,non-profit,Email Sent,site: https://www.uniswapfoundation.org/event-sponsorship,,Lizna Merani,,,,,,,,
Flatlogic,,https://flatlogic.com/hackathon-sponsorship,Tech (Software),,Email Sent,Need to set up a 30 minute zoom call,,Lizna Merani,,,,,,,,
Axure,,https://www.axure.com/event-conference-sponsorship-form,Tech (Software),asks for very specific infomation (need help filling it out),Email not sent,Online provide in-kind sponsorships (subscriptions/promotional items),,Lizna Merani,,,,,,,,
RedBull,,https://www.redbull.com/us-en/energydrink/contact-events,Food,,Email Sent,"online, need to talk to bot first",,Paulo Obnial,,,,,,,,
databricks,,https://www.databricks.com/company/contact,Tech (Software),,Email Sent,,,Paulo Obnial,,,,,,,,
Lenovo,,giving@lenovo.com,Tech (Hardware),,Email Sent,"review guidelines, think we are applicable: https://www.lenovo.com/content/dam/lenovo/corporate/foundation/Lenovo_Charitable_Giving_Guidelines.pdf",,Paulo Obnial,,,,,,,,
Intel,,intel.foundation@intel.com,Tech (Hardware),,Email Sent,,,Paulo Obnial,,,,,,,,
Spotify,,https://newsroom.spotify.com/press-inquiries/,others,,Email Sent,,,Paulo Obnial,,,,,,,,
Capital One,,alli.sherman@capitalone.com,others,,Email Sent,,,Cherilyn Kim,,,,,,,,
Figma,,https://www.figma.com/contact/,Tech (Software),,Email Sent,referral plan: https://www.figma.com/affiliate-program/,,Paulo Obnial,,,,,,,,
Kind Snacks,,affiliates@kindsnacks.com ,Food,,Email Sent,,,Nancy Liu,,,,,,,,
Airalo,,partnerships@airalo.com ,Tech (Software),,Email Sent,,,Nancy Liu,,,,,,,,
IBM,,csosoft@us.ibm.com,Tech (Hardware),,Email Sent,another personal contact: Nikki.g.brown@ibm.com ,Yes,Nancy Liu,,,,,,,,
Adobe,,chug@adobe.com ,Tech (Software),,Email Sent,https://www.adobe.com/corporate-responsibility.html ,Yes,Nancy Liu,,,,,,,,
Microsoft,,sponsor@microsoft.com ,Tech (Hardware),,Email Sent,,,Nancy Liu,,,,,,,,
Palantir ,,https://www.palantir.com/offerings/,Tech (Software),,Email Sent,,,Cherilyn Kim,,,,,,,,
Panda Express,,https://community.pandaexpress.com/fundraisers,Food,,Email Sent,,,Cherilyn Kim,,,,,,,,
SpaceX,,media@spacex.com,Tech (Hardware),,Email Sent,,,Cherilyn Kim,,,,,,,,
Sony,,SELCommunityAffairs@am.sony.com,Tech (Hardware),,Email Sent,https://www.sony.com/en_us/SCA/social-responsibility/giving-guidelines.html,,Cherilyn Kim,,,,,,,,
American Express,,communitygiving@aexp.com,others,,Email Sent,https://www.americanexpress.com/en-us/company/corporate-sustainability/community-impact/apply-grant/,,Cherilyn Kim,,,,,,,,
Barclays,,sponsorshipenquiries@barclays.com & community.investment@barclays.com,others,,Email Sent,https://home.barclays/who-we-are/sponsorship/applying-for-sponsorships/#sponsorship%20considerations,,Lizna Merani,,,,,,,,
Morgan Stanley,,communityaffairs@morganstanley.com,others,,Email Sent,https://www.morganstanley.com/about-us/giving-back/ms-guidelines,,Lizna Merani,,,,,,,,
WEEK 2,,,,,,,,,,,,,,,,
Liberty Mutual,,Philanthropy@LibertyMutual.com,others,,Email Sent,https://libertymutual.versaic.com/login,,Cherilyn Kim,,,,,,,,
John Deere,,Brand@JohnDeere.com,others,,Email Sent,Declined,,Paulo Obnial,,,,,,,,
Vitamin Water (coca-cola)??,,1-877-glaceau(452-2328).,others,,Email not sent,"https://www.coca-cola.com/ca/en/about-us/faq/does-vitaminwater-sponsor-events-what-about-individuals#:~:text=Please%20call%20us%20with%20any,in%20touch%20with%20you%20soon.",,Paulo Obnial,,,,,,,,
GrubHub,,COMMUNITYAFFAIRS@GRUBHUB.COM,others,,Email Sent,,,Paulo Obnial,,,,,,,,
Aleo,,grants@aleo.org,Tech (Software),,Email Sent,,,Paulo Obnial,,,,,,,,
Deloitte,,https://www2.deloitte.com/ro/en/pages/about-deloitte/articles/deloitte-foundation.html,others,,Email Sent,,,Paulo Obnial,,,,,,,,
Headspace,,teamsupport@headspace.com,others,,Email Sent,,,Paulo Obnial,,,,,,,,
Wells Fargo,,grantadministration@wellsfargo.com ,others,Financial Services,Email Sent,,,Nancy Liu,,,,,,,,
PNC Bank,,saskia.epstein@pnc.com,others,Financial Services,Email Sent,https://www.pnc.com/en/about-pnc/corporate-responsibility/philanthropy/charitable-sponsorships.html ,,Nancy Liu ,,,,,,,,
Cigna,,foundationgrants@thecignagroup.com ,others,Healthcare & Insurance,Email Sent,,,Nancy Liu,,,,,,,,
Cisco,,ccmg-support@cisco.com ,Tech (Software),,Email Sent,,,Nancy Liu,,,,,,,,
TD Bank,,communitysponsorships@td.com,others,Bank,Email Sent,https://www.td.com/us/en/about-us/communities/ready-commitment/funding-opportunities/community-sponsorships ,,Nancy Liu,,,,,,,,
Citizens Bank,,community@citizensbank.com,others,Bank,Email Sent,https://www.citizensbank.com/community/corporate-giving.aspx,,Lizna Merani,,,,,,,,
Kuerig Dr Pepper,,testing@me.com,Food,,Email Sent,https://www.keurigdrpepper.com/contact-us/,,Lizna Merani,,,,,,,,
Collegeboard,,collegeboardsearch@collegeboard.org,others,Education,Email Sent,https://about.collegeboard.org/contact-us,,Vincent S,,,,,,,,
Car gurus,,investors@cargurus.com,others,online car marketplace,Email Sent,"https://investors.cargurus.com/shareholder-services/investor-faqs#:~:text=If%20you%20are%20not%20calling,headquarters%20are%20in%20Cambridge%2C%20Massachusetts.",,Vincent S,,,,,,,,
Toast,,ir@toasttab.com,Tech (Software),Resturant POS systems,Email Sent,https://investors.toasttab.com/overview/default.aspx,Yes,Vincent S,,,,,,,,
Klaviyo,,partners@klaviyo.com,Tech (Software),Customer relation and retention software,Email Sent,https://www.klaviyo.com/partners,,Vincent S,,,,,,,,
Boston Scientific,,https://www.bostonscientific.com/en-US/contact-us-email2.html,others,Healthcare instruments ,Email not sent,https://www.bostonscientific.com/en-US/contact-us-email2.html,,Vincent S,,,,,,,,
Texas Instruments,,giving@ti.com,others,,Email Sent,,,Lizna Merani,,,,,,,,
CARFAX,,ConsumerResearch@carfax.com,others,,Email Sent,,,Ethan Chang,,,,,,,,
Monzo,,usa-help@monzo.com,Tech (Software),,Email Sent,,,Ethan Chang,,,,,,,,
Digital Ocean,,https://www.digitalocean.com/company/contact/sales?referrer=footer,Tech (Software),,Email Sent,,,Ethan Chang,,,,,,,,
Capgemini,,https://www.capgemini.com/gb-en/contact-us/,others,,Email Sent,Doli Karmakar,,Ethan Chang,,,,,,,,
Twilio,,https://www.twilio.com/en-us/help/sales,Tech (Software),,Email Sent,,,Ethan Chang,,,,,,,,
Samsara,,ir@samsara.com,Tech (Software),,Email Sent,https://investors.samsara.com/resources/investor-contacts/default.aspx,,Cherilyn Kim,,,,,,,,
Duolingo,,partnerships@duolingo.com,Tech (Software),,Email Sent,,,Cherilyn Kim,,,,,,,,
Shield AI,,https://shield.ai/contact/,others,,Email Sent,,,Cherilyn Kim,,,,,,,,
NVIDIA,,GTC_registration@nvidia.com,Tech (Software),,Email Sent,,,Cherilyn Kim,,,,,,,,
Gildan,,donations-usa@gildan.com,others,Clothing,Email Sent,https://gildancorp.com/en/donation-requests/,,Lizna Merani,,,,,,,,
Starbucks,,partnerships@starbucks.com,Food,,Email Sent,https://stories.starbucks.com/contact/,,Lizna Merani,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WEEK 3,,,,,,,,WEEK 2,,,,,,,,WEEK 2
Tata Consultancy Services,,https://www.tcs.com/contact-us/whats-on-your-mind/partnership-form,others,,Email Sent,,,Cherilyn Kim,,,,,,,,
Wipro,,https://www.wiprofoundation.org/contact-us/,others,,Email Sent,,,Cherilyn Kim,,,,,,,,
Cognizant,,https://www.cognizant.com/us/en/about-cognizant/sponsorships,others,,Email Sent,Denied ,,Cherilyn Kim,,,,,,,,
All American Foods,,info@aafoods.com,Food,,Email Sent,,,Cherilyn Kim,,,,,,,,
Tyson Foods,,https://forms.benevity.org/de69292b-a6ca-4803-a502-6326410db0f7,Food,,Email Sent,questions only: Corporategiving@tyson.com,,Cherilyn Kim,,,,,,,,
Adidas,,mail@adidas-group.com,others,,Email Sent,https://www.adidas.ie/contact-sponsorship.html,,Lizna Merani,,,,,,,,
